Fecha,TIB,TIR,exp,cont
2014-05-07,3.51307512,3.5,4.5,2.5
2014-05-08,3.51234522,3.5,4.5,2.5
2014-05-09,3.51378443,3.5,4.5,2.5
2014-05-10,,3.5,4.5,2.5
2014-05-11,,3.5,4.5,2.5
2014-05-12,3.51648714,3.5,4.5,2.5
2014-05-13,3.51689481,3.5,4.5,2.5
2014-05-14,3.50707313,3.5,4.5,2.5
2014-05-15,3.4790676,3.5,4.5,2.5
2014-05-16,3.45519719,3.5,4.5,2.5
2014-05-17,,3.5,4.5,2.5
2014-05-18,,3.5,4.5,2.5
2014-05-19,3.4603937,3.5,4.5,2.5
2014-05-20,3.44212577,3.5,4.5,2.5
2014-05-21,3.44376548,3.5,4.5,2.5
2014-05-22,3.43903685,3.5,4.5,2.5
2014-05-23,3.40469872,3.5,4.5,2.5
2014-05-24,,3.5,4.5,2.5
2014-05-25,,3.5,4.5,2.5
2014-05-26,3.40029614,3.5,4.5,2.5
2014-05-27,3.38021756,3.5,4.5,2.5
2014-05-28,3.41903277,3.5,4.5,2.5
2014-05-29,3.40477275,3.5,4.5,2.5
2014-05-30,3.43667997,3.5,4.5,2.5
2014-05-31,,3.5,4.5,2.5
2014-06-01,,3.5,4.5,2.5
2014-06-02,,3.5,4.5,2.5
2014-06-03,3.73914799,3.75,4.75,2.75
2014-06-04,3.74828322,3.75,4.75,2.75
2014-06-05,3.74546968,3.75,4.75,2.75
2014-06-06,3.75154149,3.75,4.75,2.75
2014-06-07,,3.75,4.75,2.75
2014-06-08,,3.75,4.75,2.75
2014-06-09,3.77034741,3.75,4.75,2.75
2014-06-10,3.75094159,3.75,4.75,2.75
2014-06-11,3.72818004,3.75,4.75,2.75
2014-06-12,3.71771166,3.75,4.75,2.75
2014-06-13,3.7132766,3.75,4.75,2.75
2014-06-14,,3.75,4.75,2.75
2014-06-15,,3.75,4.75,2.75
2014-06-16,3.71805657,3.75,4.75,2.75
2014-06-17,3.71750105,3.75,4.75,2.75
2014-06-18,3.70872769,3.75,4.75,2.75
2014-06-19,3.71660171,3.75,4.75,2.75
2014-06-20,3.71093216,3.75,4.75,2.75
2014-06-21,,3.75,4.75,2.75
2014-06-22,,3.75,4.75,2.75
2014-06-23,,3.75,4.75,2.75
2014-06-24,4.00170757,4.0,5.0,3.0
