fecha,Efectivo,m1,m2,m3
2010-01-31,23393.96399547,48348.003426519994,176676.62445272,198440.76195611
2010-02-28,22631.80944463,47681.383581999995,178034.38985206,198416.52625656998
2010-03-31,23325.02761334,47745.664515259996,177066.36688416,197694.07439387002
2010-04-30,22769.52742795,48071.509755470004,176653.76074046,198045.59151284
2010-05-31,22698.22930862,47510.294537170004,176203.86610779,198704.15360554002
2010-06-30,24790.12242951,50316.53663002,181250.51184076,202394.03251111
2010-07-31,23979.39371153,49401.61309868,180669.88418219,202651.39733165
2010-08-31,23540.85136102,50387.093506339996,181739.11917926,203158.35584852
2010-09-30,24163.59803451,50453.71716239,183221.35451173,204310.16911125
2010-10-31,24105.2197295,51021.03901147,184930.91879491002,207484.93225488
2010-11-30,24732.66237982,53274.9606021,188381.26670964,213543.05895645998
2010-12-31,29769.49490739,62090.57350198,195878.0388135,220063.88519745
2011-01-31,27142.76952434,55963.05187742,191808.30858844,218033.11388252
2011-02-28,26639.79306475,56779.69941576,197700.88258929,220746.99519462002
2011-03-31,26923.41305123,56762.156586180005,200308.84535129002,223211.80006036998
2011-04-30,26218.99655179,55820.50162176,197358.30834609998,220485.06983678002
2011-05-31,25856.79091341,55266.25948565001,201644.67051869002,226099.27259592
2011-06-30,27827.99936589,57920.32960312,206869.95516016003,230617.31730035998
2011-07-31,27027.58815701,57310.23637218,206122.26626175,230594.39497395
2011-08-31,27664.4086814,58505.512232830006,214018.99930653,238001.72348294
2011-09-30,27304.41007718,58004.39851154,211869.45995588,237485.83741069998
2011-10-31,27771.43441576,59819.41807558,216923.88532361,242328.98786417
2011-11-30,30030.47898782,63486.59035712,226098.31665982,252319.12811444
2011-12-31,33399.11455086,68792.66302669,232948.26757312,259914.38126763003
2012-01-31,30200.28119179,61868.31858968,229432.37651663,256719.93637788002
2012-02-29,29893.95854542,60901.427880539995,235801.20759222,261201.34898775
2012-03-31,28872.95562141,60245.84812526,235589.08662853,261714.75812200003
2012-04-30,28153.80588073,60717.548114410005,233982.36945423,262280.8086766
2012-05-31,28732.88388468,60178.60073074,237538.88784128,264923.95039169
2012-06-30,29242.77812501,61894.983087910005,238857.72953522002,267104.75885351
2012-07-31,28899.32748939,61813.54269082,238624.99536191,266625.47151629
2012-08-31,28973.70607517,61446.78874804,245024.13718481,272596.66601336
2012-09-30,28743.47487197,61228.77601951,247124.60527009,276109.99216193
2012-10-31,30077.53169479,62835.20411525,254195.06907946,282389.07942741003
2012-11-30,30402.79864834,65458.049078510005,259229.82381786,287988.0860983
2012-12-31,34698.52230681,73233.97825915,271354.20878047997,300467.98139364
2013-01-31,32230.39285359,66940.27803741,266738.12531046,294692.1408006
2013-02-28,31598.10680074,66497.78741937,271639.64266798,300704.26712936
2013-03-31,31725.31274353,67890.17485502,274926.44448729,305297.94626302004
2013-04-30,30545.81261008,68102.13465980001,273861.50563113,304681.32790484
2013-05-31,31233.7226449,67251.51040386,278106.262659,307830.64061661996
2013-06-30,32256.7531511,72099.05955933,284444.25687157,315232.12184803
2013-07-31,33597.33514661,71912.25881384,288428.48236995,318067.00954597
2013-08-31,32568.07233471,72425.98835161,291738.82380851,320765.10039187997
